County.Locale,STATE,Lat.Min.County,Lat.Max.County,Lat.Mid.County
BRITISH COLUMBIA,NA,NA,NA,NA
PUERTO VALLARTA,NA,NA,NA,NA
MEXICO,NA,NA,NA,NA
OFFSHORE,NA,NA,NA,NA
SOUTHERN CA,CA,30.5,34.45,32.5
CENTRAL CA,CA,34.45,38.769,36.65
NORTHERN CA,CA,38.769,42,40.4
SAN DIEGO,CA,NA,NA,33.02
ORANGE,CA,NA,NA,33.66
LOS ANGELES,CA,NA,NA,34.26
SANTA BARBARA,CA,NA,NA,34.27
VENTURA,CA,NA,NA,34.46
SAN LUIS OBISPO,CA,NA,NA,35.34
MONTEREY,CA,NA,NA,36.35
SANTA CRUZ,CA,NA,NA,37.06
SAN MATEO,CA,NA,NA,37.4
MARIN,CA,NA,NA,38.06
MENDOCINO,CA,NA,NA,39.38
HUMBOLDT,CA,NA,NA,40.74
CURRY,OR,NA,NA,42.46
COOS,OR,NA,NA,43.19
DOUGLAS,OR,NA,NA,43.29
LINCOLN,OR,NA,NA,44.71
TILLAMOOK,OR,NA,NA,45.45
CLATSOP,OR,NA,NA,46.03
PACIFIC,WA,NA,NA,46.56
GRAYS HARBOR,WA,NA,NA,47.15
KING,WA,NA,NA,47.39
JEFFERSON,WA,NA,NA,47.83
CLALLAM,WA,NA,NA,48.11
SAN JUAN,WA,NA,NA,48.57
SONOMA,CA,NA,NA,38.5
