"Interaction.Type","SARTable"
"GILLNET FISHERY","commercial"
"UNIDENTIFIED FISHERY INTERACTION","commercial"
"CA SWORDFISH DRIFT GILLNET FISHERY","commercial"
"CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY","commercial"
"UNIDENTIFIED NET FISHERY","commercial"
"CATCH SHARES BOTTOM TRAWL","commercial"
"UNIDENTIFIED POT - TRAP FISHERY ENTANGLEMENT","commercial"
"OPEN ACCESS CA HALIBUT BOTTOM TRAWL","commercial"
"LIMITED ENTRY SABLEFISH HOOK AND LINE","commercial"
"DUNGENESS CRAB POT FISHERY","commercial"
"CRAB POT FISHERY","commercial"
"CATCH SHARES HOOK AND LINE","commercial"
"LIMITED ENTRY TRAWL BOTTOM TRAWL","commercial"
"AT-SEA HAKE PELAGIC TRAWL","commercial"
"HAWAII LONGLINE SHALLOW SET FISHERY","commercial"
"CATCHER PROCESSOR MIDWATER TRAWL","commercial"
"LOBSTER TRAP ENTANGLEMENT","commercial"
"CA SPOT PRAWN TRAP FISHERY","commercial"
"LIMITED ENTRY CA HALIBUT BOTTOM TRAWL","commercial"
"TRAWL FISHERY (UNKNOWN)","commercial"
"BAIT BARGE NET ENTANGLEMENT","commercial"
"COD POT FISHERY ENTANGLEMENT","commercial"
"LIMITED ENTRY TRAWL HOOK AND LINE","commercial"
"OPEN ACCESS FIXED GEAR HOOK AND LINE","commercial"
"SEAL BOMB","commercial"
"SHORESIDE HAKE MIDWATER TRAWL","commercial"
"WEST COAST GROUNDFISH NEARSHORE FIXED GEAR FISHERY","commercial"
"WEST COAST GROUNDFISH TRAWL (PACIFIC HAKE AT-SEA PROCESSING COMPONENT) FISHERY","commercial"
"AK BSAI ATKA MACKEREL TRAWL","commercial"
"AK BSAI FLATFISH TRAWL","commercial"
"AQUACULTURE FACILITY ENTANGLEMENT","commercial"
"CA - OR - WA SABLEFISH POT FISHERY","commercial"
"CRAB POT FISHERY - HOOK AND LINE FISHERY","commercial"
"FIXED GEAR SABLEFISH FISHERY OBSERVER REPORT","commercial"
"LIMITED ENTRY SABLEFISH POT FISHERY","commercial"
"NEARSHORE HOOK AND LINE","commercial"
"PACIFIC WHITING TRAWL FISHERY","commercial"
"RED KING CRAB POT FISHERY ENTANGLEMENT","commercial"
"SALMON GILLNET FISHERY","commercial"
"SET GILLNET FISHERY INTERACTION","commercial"
"SHOOTING - GILLNET FISHERY","commercial"
"UNIDENTIFIED NET FISHERY - SHOOTING","commercial"
"UNIDENTIFIED NET FISHERY - VESSEL STRIKE","commercial"
"LIMITED ENTRY FIXED GEAR DTL HOOK AND LINE","commercial"
"HOOK AND LINE FISHERY","other"
"SHOOTING","other"
"POWER PLANT ENTRAINMENT","other"
"MARINE DEBRIS","other"
"VESSEL STRIKE","other"
"OIL  -  TAR","other"
"SCIENTIFIC RESEARCH","other"
"AUTHORIZED REMOVAL","other"
"HARASSMENT","other"
"HUMAN-INDUCED ABANDONMENT","other"
"DOG ATTACK","other"
"NORTHERN WASHINGTON MARINE SET GILLNET FISHERY, TRIBAL","other"
"VEHICLE COLLISION","other"
"GILLNET FISHERY, TRIBAL","other"
"UNIDENTIFIED HUMAN INTERACTION","other"
"STAB WOUNDS","other"
"BLUNT FORCE TRAUMA","other"
"ENTRAPMENT","other"
"GAFF INJURY","other"
"UNDERWATER DETONATION EXERCISES","other"
"UNAUTHORIZED REMOVAL","other"
"ELECTRIC SHOCK","other"
"NON-FISHERY ENTANGLEMENT","other"
"NORTHERN WASHINGTON MARINE DRIFT GILLNET FISHERY, TRIBAL","other"
"ROPE","other"
"SHOOTING - HOOK AND LINE FISHERY","other"
"SPEARING","other"
"HARASSMENT - DOG ATTACK","other"
"HARPOON","other"
"NORTHERN WASHINGTON OCEAN TROLL FISHERY, TRIBAL","other"
"SPRAY PAINTING","other"
"TRIBAL CRAB POT GEAR","other"
