"Interaction.Type","SARTable"
"CRAB POT FISHERY","commercial"
"LOBSTER TRAP ENTANGLEMENT","commercial"
"TRAWL FISHERY (UNKNOWN)","commercial"
"BAIT BARGE NET ENTANGLEMENT","commercial"
"OPEN ACCESS FIXED GEAR HOOK AND LINE","commercial"
"FIXED GEAR SABLEFISH FISHERY OBSERVER REPORT","commercial"
"LIMITED ENTRY SABLEFISH POT FISHERY","commercial"
"SHOOTING - GILLNET FISHERY","commercial"
"HUMAN-INDUCED ABANDONMENT","other"
"NORTHERN WASHINGTON MARINE SET GILLNET FISHERY, TRIBAL","other"
"UNAUTHORIZED REMOVAL","other"
"NON-FISHERY ENTANGLEMENT","other"
"NORTHERN WASHINGTON MARINE DRIFT GILLNET FISHERY, TRIBAL","other"
"HARPOON","other"
"NORTHERN WASHINGTON OCEAN TROLL FISHERY, TRIBAL","other"
