"Species","SpeciesGroup"
"CALIFORNIA SEA LION","pinniped"
"GUADALUPE FUR SEAL","pinniped"
"HARBOR SEAL","pinniped"
"NORTHERN ELEPHANT SEAL","pinniped"
"NORTHERN FUR SEAL","pinniped"
"UNIDENTIFIED FUR SEAL","pinniped"
"UNIDENTIFIED OTARIID","pinniped"
"UNIDENTIFIED PINNIPED","pinniped"
"UNIDENTIFIED SEA LION","pinniped"
"UNIDENTIFIED SEAL","pinniped"
"BAIRD'S BEAKED WHALE","small cetacean"
"BLAINVILLE'S BEAKED WHALE","small cetacean"
"BOTTLENOSE DOLPHIN","small cetacean"
"COMMON DOLPHIN LONG-BEAKED","small cetacean"
"COMMON DOLPHIN SHORT-BEAKED","small cetacean"
"COMMON DOLPHINUNIDENTIFIED","small cetacean"
"DALL'S PORPOISE","small cetacean"
"HARBOR PORPOISE","small cetacean"
"KILLER WHALE","small cetacean"
"NORTHERN RIGHT WHALE DOLPHIN","small cetacean"
"PACIFIC WHITE-SIDED DOLPHIN","small cetacean"
"RISSO'S DOLPHIN","small cetacean"
"SHORT-FINNED PILOT WHALE","small cetacean"
"STRIPED DOLPHIN","small cetacean"
"UNIDENTIFIED DOLPHIN","small cetacean"
"UNIDENTIFIED PORPOISE","small cetacean"
"BLUE WHALE","large whale"
"BRYDE'S WHALE","large whale"
"FIN WHALE","large whale"
"GRAY WHALE","large whale"
"HUMPBACK WHALE","large whale"
"MINKE WHALE","large whale"
"PYGMY SPERM WHALE","large whale"
"SEI WHALE","large whale"
"SPERM WHALE","large whale"
"UNIDENTIFIED WHALE","large whale"
