county,county.caps,state,lat.mid
Puerto Vallarta,PUERTO VALLARTA,MX,20.62
MX,MX,MX,23.63
Southern CA,SOUTHERN CA,CA,32.50
San Diego,SAN DIEGO,CA,33.02
Orange,ORANGE,CA,33.66
Los Angeles,LOS ANGELES,CA,34.26
Santa Barbara,SANTA BARBARA,CA,34.27
Ventura,VENTURA,CA,34.46
San Luis Obispo,SAN LUIS OBISPO,CA,35.34
Offshore,OFFSHORE,CA,36.25
CA,CA,CA,36.25
Monterey,MONTEREY,CA,36.35
Central CA,CENTRAL CA,CA,36.65
Santa Cruz,SANTA CRUZ,CA,37.06
San Mateo,SAN MATEO,CA,37.40
Marin,MARIN,CA,38.06
Mendocino,MENDOCINO,CA,39.38
Northern CA,NORTHERN CA,CA,40.40
Humboldt,HUMBOLDT,CA,40.74
Curry,CURRY,OR,42.46
Coos,COOS,OR,43.19
Douglas,DOUGLAS,OR,43.29
OR,OR,OR,44.15
Offshore,OR,OR,44.15
Lincoln,LINCOLN,OR,44.71
Tillamook,TILLAMOOK,OR,45.45
Clark,CLARK,WA,45.78
Clatsop,CLATSOP,OR,46.03
Pacific,PACIFIC,WA,46.56
Grays Harbor,GRAYS HARBOR,WA,47.15
King,KING,WA,47.39
WA,WA,WA,47.40
Offshore,OFFSHORE,WA,47.40
Lincoln,LINCOLN,WA,47.57
Jefferson,JEFFERSON,WA,47.83
Clallam,CLALLAM,WA,48.11
San Juan,SAN JUAN,WA,48.57
