"latmin","latmax","county"
32.801462,34.823301,"LOS ANGELES"
38.111297326741,38.852916,"SONOMA"
37.454186,37.905824,"ALAMEDA"
38.758575,40.002129,"MENDOCINO"
41.380776,42.00076,"DEL NORTE"
38.154976,38.863994,"NAPA"
41.995094,42.784061,"JOSEPHINE"
41.9969940811635,44.444661,"MALHEUR"
44.255211,45.080581,"BAKER"
45.065224,45.8124817188485,"GILLIAM"
46.790916,47.533898,"GRAYS HARBOR"
46.728406,47.403675,"PIERCE"
47.940857,49.000705,"OKANOGAN"
45.9997905520367,46.606812,"WALLA WALLA"
39.597264,40.449715,"PLUMAS"
38.734598,39.305668,"SUTTER"
39.382973,39.800421,"GLENN"
45.8359407146783,46.727687,"BENTON"
38.217951,38.709029,"AMADOR"
40.285375,41.184924,"SHASTA"
33.465691,35.114587,"SANTA BARBARA"
33.214731,34.901171,"VENTURA"
32.6186419785708,33.433741,"IMPERIAL"
33.425932,34.079809,"RIVERSIDE"
37.462663,38.713212,"MONO"
40.0012763404289,41.465844,"HUMBOLDT"
40.992298,42.009485,"SISKIYOU"
41.9956172960188,42.955232,"CURRY"
43.437395,44.290537,"LANE"
41.991794,44.047828,"HARNEY"
48.640448,49.002494,"WHATCOM"
46.762038,47.190337,"THURSTON"
47.084402,47.780576,"KING"
46.416779,47.260568,"WHITMAN"
47.517716,48.144344,"JEFFERSON"
47.792295,49.000843,"STEVENS"
36.763047,37.777986,"MADERA"
36.740381,37.633364,"MERCED"
39.797472,40.45313,"TEHAMA"
38.918393,39.639459,"YUBA"
37.183108,37.904122,"MARIPOSA"
44.885716,45.461675,"CLACKAMAS"
44.683888,45.285083,"MARION"
44.390265,44.829919,"JEFFERSON"
41.993023,43.616648,"KLAMATH"
48.418011,48.788579,"SAN JUAN"
45.543541,46.059632,"CLARK"
47.082259,47.607458,"MASON"
47.830363,49.0004067514246,"FERRY"
46.040169,47.08875,"YAKIMA"
47.220133,48.151187,"DOUGLAS"
46.383458,46.794427,"LEWIS"
47.26012,47.957906,"LINCOLN"
32.534435,33.505025,"SAN DIEGO"
37.1073182889556,37.708617,"SAN MATEO"
39.391558,39.776821,"SIERRA"
38.502349,39.067489,"EL DORADO"
39.295621,40.151905,"BUTTE"
37.633704,38.433521,"TUOLUMNE"
38.923897,39.414499,"COLUSA"
43.697376,44.564036,"CROOK"
44.956351,45.861072,"UNION"
46.737126,47.597874,"KITTITAS"
33.3877884344227,33.947636,"ORANGE"
37.817563,38.321209,"MARIN"
36.893033,37.484637,"SANTA CLARA"
37.481783,38.300252,"SAN JOAQUIN"
35.906914,37.585737,"FRESNO"
42.699297,43.944837,"DOUGLAS"
45.432668,45.728665,"MULTNOMAH"
43.95892,44.997662,"GRANT"
44.276699,44.72127,"BENTON"
46.192667,46.738833,"FRANKLIN"
46.625464,47.96213,"GRANT"
35.788977,36.919683,"MONTEREY"
48.296009,48.657003,"SKAGIT"
46.239787,46.794241,"PACIFIC"
37.718531,38.099878,"CONTRA COSTA"
45.083477,45.7372486812962,"SHERMAN"
38.67078,39.5814,"LAKE"
45.850536,46.388043,"COWLITZ"
34.897475,35.7951826441526,"SAN LUIS OBISPO"
39.00516,39.526699,"NEVADA"
44.200016,44.794422,"LINN"
36.8506482495196,37.286055,"SANTA CRUZ"
45.77308,46.290834,"CLATSOP"
47.403091,47.940772,"KITSAP"
35.788935,36.744773,"TULARE"
44.821769,45.704949,"WASCO"
47.904023,48.411565,"ISLAND"
38.313089,38.925861,"YOLO"
43.611164,44.393464,"DESCHUTES"
36.196848,36.98884,"SAN BENITO"
37.831858,38.509869,"CALAVERAS"
38.031721,38.53905,"SOLANO"
37.134774,38.077421,"STANISLAUS"
45.317192,45.780154,"WASHINGTON"
45.07486,45.433707,"YAMHILL"
37.692736,37.8633422971737,"SAN FRANCISCO"
35.786686,37.465238,"INYO"
38.711395,39.3164959768657,"PLACER"
39.707658,41.184514,"LASSEN"
34.788655,35.798392,"KERN"
46.735646,47.261709,"ADAMS"
47.259272,48.047874,"SPOKANE"
45.9978694691105,46.703168,"GARFIELD"
45.078265731912,46.0007234754428,"WALLOWA"
44.994539,45.925456,"MORROW"
39.977015,41.368025,"TRINITY"
41.992586,43.617437,"LAKE"
45.606098,46.044887,"KLICKITAT"
46.144632,46.385617,"WAHKIAKUM"
48.0454642716004,49.0003644833648,"PEND OREILLE"
45.044432,45.783518,"TILLAMOOK"
45.257377,45.726541,"HOOD RIVER"
44.995877,46.000994,"UMATILLA"
35.788947,36.488958,"KINGS"
38.018421,38.736401,"SACRAMENTO"
47.775349,48.298988,"SNOHOMISH"
44.275094,45.045727,"LINCOLN"
45.720946,46.188973,"COLUMBIA"
44.30662,45.068279,"WHEELER"
45.5477731000169,46.388627,"SKAMANIA"
45.995413,46.462245,"ASOTIN"
47.866676,48.395611,"CLALLAM"
33.871039,35.8096294219517,"SAN BERNARDINO"
38.32688,38.933324,"ALPINE"
41.183484,41.9974692924328,"MODOC"
42.003084,42.996644,"JACKSON"
44.719415,45.076226,"POLK"
47.260935,48.550836,"CHELAN"
42.666684,43.611445,"COOS"
45.9988892323573,46.62467,"COLUMBIA"
